-1.25,-1.25,14.625
-1.25,-1.199,13.875
-1.25,-1.148,13.157
-1.25,-1.0969,12.47
-1.25,-1.0459,11.814
-1.25,-0.9949,11.189
-1.25,-0.94388,10.595
-1.25,-0.89286,10.033
-1.25,-0.84184,9.5021
-1.25,-0.79082,9.0023
-1.25,-0.7398,8.5338
-1.25,-0.68878,8.0965
-1.25,-0.63776,7.6904
-1.25,-0.58673,7.3155
-1.25,-0.53571,6.9719
-1.25,-0.48469,6.6596
-1.25,-0.43367,6.3784
-1.25,-0.38265,6.1285
-1.25,-0.33163,5.9099
-1.25,-0.28061,5.7225
-1.25,-0.22959,5.5663
-1.25,-0.17857,5.4413
-1.25,-0.12755,5.3476
-1.25,-0.076531,5.2851
-1.25,-0.02551,5.2539
-1.25,0.02551,5.2539
-1.25,0.076531,5.2851
-1.25,0.12755,5.3476
-1.25,0.17857,5.4413
-1.25,0.22959,5.5663
-1.25,0.28061,5.7225
-1.25,0.33163,5.9099
-1.25,0.38265,6.1285
-1.25,0.43367,6.3784
-1.25,0.48469,6.6596
-1.25,0.53571,6.9719
-1.25,0.58673,7.3155
-1.25,0.63776,7.6904
-1.25,0.68878,8.0965
-1.25,0.7398,8.5338
-1.25,0.79082,9.0023
-1.25,0.84184,9.5021
-1.25,0.89286,10.033
-1.25,0.94388,10.595
-1.25,0.9949,11.189
-1.25,1.0459,11.814
-1.25,1.0969,12.47
-1.25,1.148,13.157
-1.25,1.199,13.875
-1.25,1.25,14.625
-1.199,-1.25,14.125
-1.199,-1.199,13.376
-1.199,-1.148,12.657
-1.199,-1.0969,11.97
-1.199,-1.0459,11.314
-1.199,-0.9949,10.689
-1.199,-0.94388,10.096
-1.199,-0.89286,9.5334
-1.199,-0.84184,9.0023
-1.199,-0.79082,8.5026
-1.199,-0.7398,8.034
-1.199,-0.68878,7.5967
-1.199,-0.63776,7.1906
-1.199,-0.58673,6.8158
-1.199,-0.53571,6.4721
-1.199,-0.48469,6.1598
-1.199,-0.43367,5.8786
-1.199,-0.38265,5.6287
-1.199,-0.33163,5.4101
-1.199,-0.28061,5.2227
-1.199,-0.22959,5.0665
-1.199,-0.17857,4.9415
-1.199,-0.12755,4.8478
-1.199,-0.076531,4.7853
-1.199,-0.02551,4.7541
-1.199,0.02551,4.7541
-1.199,0.076531,4.7853
-1.199,0.12755,4.8478
